Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore,Action,Adventure,Aniimation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Success
2006,110,7.6,309934,39.83,68,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2010,117,6.8,219116,77.21,47,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,100,6.7,71069,0.32,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,119,6.3,166342,44.67,42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,104,7,201707,37.37,57,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,149,6.6,338280,217.54,46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2016,104,7.7,16163,0.69,37,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,126,7.5,259182,73.82,83,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,93,5.6,4155,0.02,68,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2008,128,7.1,182305,39.38,57,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015,118,5.7,17439,0.56,53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008,112,5.2,124554,102.18,31,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2016,99,5.4,29642,63.03,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,111,6.6,8998,4.71,54,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,129,8.2,144524,20.17,80,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2010,110,7.6,254904,171.03,80,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,96,6.2,25903,3.59,46,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2014,116,6.1,144779,42.62,44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2016,99,6.1,30035,34.9,65,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2013,106,5.9,91684,68.56,39,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2007,113,7.2,148943,39,68,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2013,104,6.5,92875,27.69,61,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2008,107,7.9,322536,7.76,67,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,103,6.3,154400,54.76,31,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,116,7.8,290056,93.57,79,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,114,7.5,91229,31.66,38,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014,114,7.3,151970,31.24,68,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,102,7.3,57826,18.7,73,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2008,118,6.6,156158,101.11,43,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2013,85,5.7,154588,64.42,41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
2014,153,8.2,103279,10.57,51,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008,122,6.2,351361,317.01,65,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,109,6.3,72515,31.99,56,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2015,119,5.7,25928,0.34,65,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,106,6.6,347798,168.37,58,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2010,98,8.1,523893,217.39,74,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2006,110,5.6,82701,42.27,36,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2006,96,7.3,199193,10.14,51,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,106,6.2,110490,191.45,57,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,102,5.1,10871,0.78,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2011,113,6.9,218679,61.09,56,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2015,117,6.5,67196,12.28,34,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,120,7.3,128146,28.48,45,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,95,6.9,31370,0.04,31,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013,134,7.8,346154,107.1,83,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2016,92,4.6,11555,3.77,22,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,89,6.7,69157,169.69,44,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,92,6.4,366138,227.95,49,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,118,6,50241,87.03,58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,111,6.3,92868,36.92,42,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008,101,6.6,154936,31.45,56,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,66,7.8,4370,0.29,85,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,102,6.6,129252,18.6,40,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011,108,6.2,178243,70.63,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2006,120,7.3,87887,5.48,77,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,98,7.4,304837,368.05,62,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,114,6.5,93883,25.98,57,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2013,109,7,199813,26,81,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,110,7.2,196652,14.99,66,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,115,6.2,146566,82.16,59,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,105,6.2,103681,50.55,57,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2007,104,6.8,221073,71.98,64,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2014,111,6,52537,33.63,55,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2010,116,6.6,233148,90.76,50,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,95,7.1,115751,6.85,82,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,111,6.8,4771,3.9,65,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015,93,6.7,19309,0.05,60,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,100,6.2,142560,71.59,57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2009,123,7,153448,41.57,42,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
2012,112,6.3,72050,16.68,54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2009,87,7.8,149779,21,83,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,129,7.6,285441,88.5,76,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2010,94,7.6,294010,18.33,82,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,99,5.4,91106,84.26,37,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
2009,123,6.8,130153,7.69,65,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2009,118,5.8,180105,150.17,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,119,7,5855,0.3,72,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,87,1.9,77207,14.17,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,102,7.2,171356,70.27,63,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012,94,6.4,16917,49,54,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,120,7.4,67464,11.23,76,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008,112,5.7,62719,70.22,29,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,83,6.4,225394,59.62,58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,108,6.3,38804,5.98,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
2016,128,7.5,5531,0.13,84,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,113,5.5,163144,100.02,54,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,108,6.3,125190,54.41,40,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,125,6.4,15232,1.98,74,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011,135,7.1,137117,3.03,80,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,97,7.1,95480,104.37,73,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,98,6.8,157499,81.56,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012,138,7.3,276347,93.75,76,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2015,94,6.7,77447,177.34,55,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,131,7.8,77986,0.09,49,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2013,128,7.5,69659,95,62,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008,123,6.8,198395,81.16,48,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,104,7.4,111875,16.17,62,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2013,116,6.8,88829,11.33,63,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008,96,7.1,208770,23.21,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008,92,7.6,329788,215.4,73,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,111,5.9,9993,54.01,67,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,115,6.6,297093,125.32,49,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,123,7.5,55648,36.58,64,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,107,6.4,136642,41.78,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2008,141,7.8,206793,35.71,63,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010,113,7.2,119376,19.06,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014,81,6.2,32310,66.95,54,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,85,7.1,100890,1.36,81,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,120,6.5,61060,0.16,46,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2016,110,6.9,7402,3.4,78,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015,122,6.9,20907,0.64,67,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2011,99,6.6,20194,52.69,51,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,126,6.9,270429,133.38,66,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2015,116,7.7,21569,3.36,70,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,85,2.7,59512,9.35,45,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012,93,5.4,64584,44.8,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011,107,7,113599,13.77,48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,114,6.6,101301,53.36,39,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007,100,7,221858,28.64,78,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2013,98,6.9,193579,66.36,59,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2013,98,7.3,160592,33.4,78,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,110,5.8,152145,122.51,41,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,99,5.8,159230,83.64,37,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2016,120,6.9,8365,1.91,68,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,125,7.5,125693,83.3,65,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,119,6.3,184564,23.01,42,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2011,96,6.9,173919,143.62,63,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,101,6.1,16361,0.03,43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2006,143,7.5,253417,34.3,69,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,139,6.8,143517,13.3,85,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012,101,6.5,82874,60.44,39,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,88,5.5,75262,25,53,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2011,100,7.7,281625,34.96,72,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011,127,7.1,264480,85.46,56,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2008,145,5.5,102547,152.64,53,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008,92,7.1,187077,42.72,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2006,117,7.9,93036,2.28,64,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,96,6.5,172558,88.92,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2009,89,5.5,83976,58.72,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015,101,6.5,27730,0.81,64,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2006,105,5.6,118905,34.01,58,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,98,6.8,55243,3.45,59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014,102,7.9,237565,177,76,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,117,6.2,190833,58.61,52,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,95,6.7,12361,14.44,63,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007,122,6.9,269581,117.14,62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2006,95,6.5,64351,7.77,69,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2011,106,6.6,187004,75.64,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015,133,6.4,17565,0.08,72,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2007,96,7.2,117297,82.23,74,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,89,7.2,66265,0.07,65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
2009,122,6.7,33007,36.84,60,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,156,7.5,17962,0.79,81,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2012,103,6.6,257395,85.02,51,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2006,147,7.5,199387,2.21,56,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2007,113,6.1,155078,70.08,51,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2010,97,6.4,67801,0.12,62,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,93,6.3,31651,3.64,32,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2009,102,6.4,152808,64.15,48,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,103,6.8,57921,27.29,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2006,154,6.1,246797,200.07,72,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,117,4.9,190244,281.28,45,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2009,110,7.3,91623,47.54,79,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,110,5.9,7475,0.02,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,113,5.9,39380,51.78,58,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014,107,6.8,92170,50.46,46,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2016,120,6.2,4669,0.22,82,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2006,108,6.6,137502,148.21,66,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2009,92,4.4,60655,0.18,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010,96,6.8,64535,0.32,50,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,98,6.1,50255,0.07,58,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2010,124,4.9,192740,300.52,58,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011,106,6.1,62095,13.99,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013,119,6.4,132098,42,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2016,91,5.6,3990,0.03,48,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,100,4.9,166512,60.52,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,80,6.1,2417,0.15,69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,105,7.8,92076,6.74,74,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,115,7.3,211348,82.62,84,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,146,4.3,62403,95.33,27,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013,95,7.2,65653,1.29,61,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,105,6.4,173731,36.06,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2014,94,6.2,81823,26.05,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,100,5.2,84158,40.17,32,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2012,109,7.7,192190,40.98,68,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,117,6.2,73567,30.69,40,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2006,110,7.8,271940,22.49,53,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2013,101,7,97141,2.32,61,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015,101,5.9,10220,0.01,59,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2008,115,6.7,88260,26.81,50,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2010,108,6.3,60133,0.09,27,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2013,92,4.8,37060,34.33,62,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2012,123,5.9,64513,38.51,47,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2011,111,6.2,108544,38.18,52,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2016,124,7.4,6753,8.81,73,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2016,94,6,20966,59.57,37,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2011,120,7.6,108772,3.19,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016,109,7,12048,61.69,44,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,118,5.3,27312,85.91,33,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,133,7.4,95172,24.34,56,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
2014,104,6.5,112729,82.39,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,111,6.8,21405,42.65,47,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,102,5.6,87904,21.56,31,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011,92,5.9,88000,42.58,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2014,104,6.3,33688,23.39,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2009,92,6.6,129708,45.8,44,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2007,165,8.5,102697,1.2,42,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2010,97,5.9,140900,60.13,37,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2012,88,6.7,164088,54.72,48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,94,5.5,73152,17.54,46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2008,98,6.2,70699,58.01,50,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2016,87,5.3,12435,19.64,11,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
